"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"1/1/2007","00:00:00",3.1269,0.136,241.97,10.6,0,0,0
"1/1/2007","00:01:00",3.09965,0.1,241.75,10.4,0,0,0
"1/1/2007","00:02:00",2.55,0.1,241.64,10.4,0,0,0
"1/1/2007","00:03:00",2.55,0.1,241.71,10.4,0,0,0
"1/1/2007","00:04:00",3.02335,0.1,241.98,10.4,0,0,0
"1/1/2007","00:05:00",2.55,0.1,241.83,10.4,0,0,0
"1/1/2007","00:06:00",2.97485,0.096,241.07,10.4,0,0,0
"1/1/2007","00:07:00",2.484,0,241.29,10.2,0,0,0
"1/1/2007","00:08:00",2.9256,0,241.23,10.2,0,0,0
"1/1/2007","00:09:00",2.90105,0,242.18,10.2,0,0,0
"1/1/2007","00:10:00",2.8767,0,242.46,10.2,0,0,0
"1/1/2007","00:11:00",2.8529,0,242.88,10.2,0,0,0
"1/1/2007","00:12:00",2.8289,0,242.57,10.2,0,0,0
"1/1/2007","00:13:00",2.492,0,242.41,10.2,0,0,0
"1/1/2007","00:14:00",2.7796,0,241.81,10.2,0,0,0
"1/1/2007","00:15:00",2.7765,0,241.73,10.2,0,0,0
"1/1/2007","00:16:00",2.7776,0,241.29,10.2,0,0,0
"1/1/2007","00:17:00",2.77825,0,241.11,10.2,0,0,0
"1/1/2007","00:18:00",2.7786,0,240.59,10.2,0,0,0
"1/1/2007","00:19:00",2.77885,0,240.83,10.2,0,0,0
"1/1/2007","00:20:00",2.544,0.092,240.9,10.6,0,0,0
"1/1/2007","00:21:00",2.7837,0.116,241.15,10.4,0,1,0
"1/1/2007","00:22:00",2.7863,0.118,241.55,10.6,0,1,0
"1/1/2007","00:23:00",2.791,0.218,241.67,11,0,2,0
"1/1/2007","00:24:00",2.682,0.258,242.45,11,0,1,0
"1/1/2007","00:25:00",2.66,0.252,241.6,11,0,1,0
"1/1/2007","00:26:00",2.80255,0.25,241.14,11,0,2,0
"1/1/2007","00:27:00",2.8041,0.25,241.38,11,0,1,0
"1/1/2007","00:28:00",2.642,0.248,240.9,11,0,2,0
"1/1/2007","00:29:00",2.8068,0.25,241.15,11,0,1,0
"1/1/2007","00:30:00",2.8083,0.252,241.32,11,0,1,0
"1/1/2007","00:31:00",2.646,0.252,241.35,11,0,2,0
"1/1/2007","00:32:00",2.81115,0.252,241.38,11,0,1,0
"1/1/2007","00:33:00",2.656,0.256,242.03,11,0,1,0
"1/1/2007","00:34:00",2.815,0.254,241.86,11,0,2,0
"1/1/2007","00:35:00",2.8167,0.252,241.47,11,0,1,0
"1/1/2007","00:36:00",2.63,0.248,240.96,10.8,0,1,0
"1/1/2007","00:37:00",2.606,0.214,240.94,10.8,0,2,0
"1/1/2007","00:38:00",2.81625,0.132,240.31,10.6,0,1,0
"1/1/2007","00:39:00",2.81515,0.216,240.46,10.8,0,1,0
"1/1/2007","00:40:00",2.602,0.216,240.5,10.8,0,1,0
"1/1/2007","00:41:00",2.81675,0.214,240.08,10.8,0,2,0
"1/1/2007","00:42:00",2.6,0.216,240.5,10.8,0,1,0
"1/1/2007","00:43:00",2.8193,0.216,240.65,10.8,0,1,0
"1/1/2007","00:44:00",2.6,0.216,240.68,10.8,0,1,0
"1/1/2007","00:45:00",2.82165,0.216,240.69,10.8,0,1,0
